Account_ID,Account_Type,Client_ID,Type_Client,Office_Code,Entity_Code,Check_Digit,Account_Number,Balance,Currency,Interest_Rate,Status,Created_At,income
d6e9249d-dc53-48ad-b3f7-66dc3aef0ce5,CHECKING,1,Individual,2606,7701,84,5903551968,107282.44,EUR,0.06,ACTIVE,2024-01-25,2724.92
faea4078-62d4-4b87-8246-91a4e07d531c,CHECKING,1,Individual,2218,4852,12,5483783299,55212.54,EUR,0.06,ACTIVE,2024-12-31,3607.29
22e8a093-4a5c-4490-826f-a159dae1dd86,CHECKING,2,Individual,8002,2740,81,5266422622,111358.39,EUR,0.01,INACTIVE,2023-10-02,2812.55
871a98ba-eef6-472a-b208-dae4c8617d8f,CHECKING,2,Individual,6468,5084,51,9905113910,123678.01,EUR,0.07,INACTIVE,2023-08-30,2166.31
dc7d9aff-d3c4-4480-b80b-9c8404ed35d9,SAVINGS,3,Individual,7547,1799,57,9630676859,32721.29,EUR,1.44,INACTIVE,2025-02-18,5548.94
fa7e2cec-af15-401b-969c-e7f7d71304ee,CHECKING,4,Individual,6272,0096,31,5624472380,29588.44,EUR,0.01,ACTIVE,2023-11-25,6583.73
1a6d366a-3355-43ca-b5c6-d3b31ea6dca4,SAVINGS,4,Individual,9392,8297,48,6461324909,43765.65,EUR,0.9,ACTIVE,2021-03-15,5752.21
860c2775-6c80-4043-99f2-11c0f116f3b3,CHECKING,5,Individual,9130,2677,61,2047232853,105331.49,EUR,0.03,ACTIVE,2023-12-03,7600.74
4a514910-519b-4e3d-bad8-c4b5b684a1cf,SAVINGS,6,Individual,2938,8346,15,7866720752,10582.13,EUR,0.66,INACTIVE,2025-03-23,6584.89
9ce48a04-a598-47a8-9eaf-87468c7cdc24,SAVINGS,7,Empresa,2242,5125,15,3194122452,83164.71,EUR,0.81,INACTIVE,2024-05-14,7248.93
ef56b770-083d-4d23-8824-23da2216d591,MORTGAGE,8,Individual,8679,2912,36,6506289659,90324.07,EUR,1.7,INACTIVE,2020-05-26,2140.61
7149f69f-2c7c-4444-98ce-62596919c158,CHECKING,9,Individual,1347,1147,18,4954009344,86520.86,EUR,0.0,ACTIVE,2024-12-31,7800.34
8d495b23-bcab-4f63-bd69-9fd279106037,CHECKING,10,Empresa,8635,2324,73,3459892919,101810.54,EUR,0.09,ACTIVE,2024-04-16,5234.14
0082583c-e074-4ab8-960c-ebe94664e88e,CHECKING,10,Empresa,3504,3580,92,9715601952,64849.9,EUR,0.06,INACTIVE,2023-10-27,6581.76
ec6dc28a-9b3c-4324-9d1f-d52c3650f811,CHECKING,11,Individual,7656,9117,05,0850229724,2576.91,EUR,0.02,INACTIVE,2025-04-16,2878.82
9feeb5fd-ede5-43ae-b58a-237d8a88ff2b,CHECKING,12,Individual,2694,7807,21,3801156379,28893.64,EUR,0.09,INACTIVE,2025-05-12,2505.79
5da675da-6530-440b-b6fd-737678467800,CHECKING,13,Individual,1038,4809,60,0592178788,44423.03,EUR,0.03,ACTIVE,2023-10-09,3424.74
51d82ac1-57bf-454e-80ac-3f945e9bffbc,CHECKING,14,Individual,7685,1216,93,6192001749,12786.35,EUR,0.09,ACTIVE,2023-08-10,2664.73
0a707763-4917-4d26-a910-0ba4d34e290c,TERM,14,Individual,8352,3874,43,4698231005,132368.82,EUR,1.79,ACTIVE,2023-04-17,6231.42
06f871fc-8696-4a01-b588-14f6cf2be405,SAVINGS,15,Individual,0004,0970,11,2141847274,140095.98,EUR,1.32,INACTIVE,2024-11-15,2063.74
f8ca604d-3e4a-4022-ad36-ffb9dd06b907,CHECKING,16,Individual,2090,9389,77,4005958840,110812.43,EUR,0.05,ACTIVE,2024-12-27,7815.21
aaac644e-3865-42a3-9e3b-01404933e9da,SAVINGS,16,Individual,5262,2955,91,5774632119,105132.17,EUR,0.57,INACTIVE,2025-02-26,7897.96
7277f762-57e5-4519-ba97-b720f68935b6,CHECKING,17,Individual,5590,4937,67,3292798283,133249.54,EUR,0.08,ACTIVE,2025-04-07,3265.5
c8051c89-1312-4350-8f1e-f88e7abcd4e1,CHECKING,18,Empresa,4799,1773,67,2580027235,97464.34,EUR,0.02,ACTIVE,2025-05-10,5907.26
56622b55-b997-4958-9974-62e38b1f33fd,TERM,19,Individual,6888,5602,50,1401784841,13646.02,EUR,1.08,ACTIVE,2025-05-11,4226.51
b26a3706-f52a-4455-a6ae-0c951c822d02,CHECKING,20,Individual,6144,1774,17,7945518044,48001.69,EUR,0.08,INACTIVE,2023-01-11,2848.6
2528732c-ac01-40a0-80bc-fec5972fc70c,CHECKING,21,Individual,0309,0946,40,5875531342,149519.85,EUR,0.1,INACTIVE,2023-11-06,4552.23
d6304187-5cf2-4550-af36-98355c587f11,CHECKING,22,Individual,4168,7241,46,9664559876,77759.39,EUR,0.02,ACTIVE,2025-04-19,3316.28
170b1b50-4654-43de-92ab-1283b2fec319,CHECKING,23,Empresa,8511,8026,20,4469970860,118329.72,EUR,0.07,ACTIVE,2025-02-04,3047.91
27b2f339-c5ba-49fc-95d8-30177feef8d7,MORTGAGE,24,Individual,8946,0390,11,9811777249,123703.5,EUR,1.94,ACTIVE,2024-11-15,6047.49
80e5230e-378d-410e-b89b-b37f63ded7ef,CHECKING,24,Individual,1146,4793,98,3121300910,8829.68,EUR,0.05,ACTIVE,2024-07-05,6701.4
7e0612fa-79e8-4ac6-a87e-dc54f46a4304,TERM,24,Individual,0994,4582,19,0717812234,59557.13,EUR,2.05,INACTIVE,2022-08-02,5059.45
0969786d-bcd0-4a12-aee3-ba01c89a654b,SAVINGS,25,Individual,8369,3790,86,9638847299,15008.61,EUR,0.47,INACTIVE,2024-12-22,4075.48
25861b4b-ef80-4937-8fe2-362bb0c153a4,CHECKING,26,Empresa,5176,8735,22,2673390764,65749.49,EUR,0.03,ACTIVE,2025-05-06,7138.42
61244e00-d874-4478-9c0c-c9cafe6eac42,CHECKING,26,Empresa,5330,7770,48,6380048298,102105.51,EUR,0.05,INACTIVE,2025-04-23,3446.11
8b74e3b9-c11d-43e6-a6a1-0c5105e7c835,CHECKING,26,Empresa,9258,3771,41,7082052300,48005.25,EUR,0.1,ACTIVE,2024-10-02,2522.95
6bf63fab-271f-4ea0-b947-9d713246fc07,CHECKING,27,Individual,8656,0317,06,5605637585,80608.15,EUR,0.07,ACTIVE,2025-02-05,6680.63
283c9796-078a-47ea-80d3-3efc16774285,CHECKING,28,Individual,7962,8488,18,8038931072,19881.37,EUR,0.06,ACTIVE,2021-09-27,5607.1
2fe53dd2-b693-41ba-a119-99f2c171768b,CHECKING,29,Individual,4914,7803,57,3545115552,40794.91,EUR,0.06,ACTIVE,2025-02-24,2116.79
be539c77-af3c-470c-8b3b-e9533fc2a6f1,CHECKING,30,Individual,3380,2657,89,2287555670,68104.08,EUR,0.07,ACTIVE,2022-08-13,1194.12
5d7e6fee-c15a-41aa-819c-f764260cc7be,CHECKING,30,Individual,2716,4563,94,7417007093,90135.63,EUR,0.05,INACTIVE,2022-06-23,2449.4
4d984a2e-4a3e-4a09-990c-875c4aab1c1b,MORTGAGE,31,Individual,2424,2943,32,9405394518,60461.01,EUR,1.65,ACTIVE,2025-03-30,4065.32
1697ea73-6dab-4470-9914-5f34185a6862,CHECKING,32,Individual,7383,3446,35,5698241487,80436.02,EUR,0.01,INACTIVE,2021-10-25,1264.56
6bf3bb7d-bfbb-4d5f-af58-6210926308fb,CHECKING,33,Individual,4687,1647,04,7088658409,68720.82,EUR,0.07,INACTIVE,2022-12-25,3230.98
28b0297b-464b-46e4-9db1-f30f6ab2b526,SAVINGS,34,Individual,3759,1227,82,1669017730,142621.14,EUR,1.36,ACTIVE,2024-09-29,5243.48
cbdae229-eb0e-4b72-94ee-226dd840d801,TERM,35,Individual,7896,6870,35,3531549308,69084.2,EUR,1.89,INACTIVE,2024-07-19,2992.61
0c7b3414-eb44-458e-993b-07d28ef0ba16,CHECKING,35,Individual,6743,8644,23,8212666860,66934.1,EUR,0.1,INACTIVE,2024-10-03,6158.09
4cbb1477-cfec-45b7-8e9f-0028015a8e3f,SAVINGS,36,Individual,1868,9739,21,6802761650,23979.52,EUR,1.16,INACTIVE,2023-11-01,881.27
315ebe5d-af69-4d49-9609-2144d18e6556,SAVINGS,37,Individual,6170,8999,91,4490465382,148328.2,EUR,0.67,ACTIVE,2025-05-07,7954.44
50be1f8d-04e5-4fe8-9f21-d1227826b7ac,TERM,38,Individual,3844,6821,41,4843027570,117354.16,EUR,1.96,ACTIVE,2025-01-12,5446.48
11a4e6cd-0907-4a91-bcb4-a65bb8cd3293,TERM,39,Individual,9124,0780,61,9686751956,145825.18,EUR,1.18,ACTIVE,2025-04-06,4692.59
872de0bb-ccdd-4f6e-b80b-c945b81cf041,MORTGAGE,40,Individual,8177,4090,61,1555780545,117636.48,EUR,2.5,ACTIVE,2022-01-31,5660.98
c4c5a8aa-56b9-4763-9685-5a82b555faf0,SAVINGS,41,Individual,5369,6945,40,9385267735,145286.69,EUR,1.32,INACTIVE,2024-10-13,2396.99
