Card_ID,Card_Type,Client_ID,Type_Client,Account_ID,Card_Number,CVV,Expiration_Date,Issuing_Bank,Credit_Limit,Available_Balance,Status,Created_At,credit_card_usage
20aae5c5-6dbd-4f30-9fb6-7ad78e3135a3,DEBIT,1,Individual,d6e9249d-dc53-48ad-b3f7-66dc3aef0ce5,4540686057782621,462,2029-06-18,Welford Bank,0.0,0.0,INACTIVE,2024-02-21,
520d763d-f2e2-4444-8118-cf6ddaa33bc9,CREDIT,1,Individual,d6e9249d-dc53-48ad-b3f7-66dc3aef0ce5,4540089479971220,311,2028-10-09,Welford Bank,3029.49,2948.58,ACTIVE,2024-12-20,0.0267
ab58eb70-ecef-4b99-aa58-8c360292f560,DEBIT,1,Individual,faea4078-62d4-4b87-8246-91a4e07d531c,4540331985266342,142,2026-10-16,Welford Bank,0.0,0.0,ACTIVE,2025-01-11,
ce1589b6-eec5-4bf2-bbcd-dedc44dcf6ae,DEBIT,2,Individual,22e8a093-4a5c-4490-826f-a159dae1dd86,4540196899838017,378,2030-03-06,Welford Bank,0.0,0.0,INACTIVE,2024-08-29,
f38d21c5-648c-46c0-8c8e-c71633da2fd4,DEBIT,2,Individual,22e8a093-4a5c-4490-826f-a159dae1dd86,4540210001219681,959,2028-11-03,Welford Bank,0.0,0.0,ACTIVE,2023-11-25,
425ab519-efd0-4f91-a074-6b70b5564a28,CREDIT,2,Individual,871a98ba-eef6-472a-b208-dae4c8617d8f,4540755297839221,058,2028-02-02,Welford Bank,7518.77,5402.4,INACTIVE,2025-02-19,0.2815
ba490ed3-dd17-4b8b-a0af-41089e69bd93,DEBIT,4,Individual,1a6d366a-3355-43ca-b5c6-d3b31ea6dca4,4540685671799042,052,2030-01-05,Welford Bank,0.0,0.0,ACTIVE,2024-05-21,
02ddfa3f-e2e1-4673-9449-23347228eced,DEBIT,5,Individual,860c2775-6c80-4043-99f2-11c0f116f3b3,4540945215421488,787,2026-08-17,Welford Bank,0.0,0.0,ACTIVE,2024-06-26,
64163c1e-c21c-482c-aa4e-60cc73c4bdff,CREDIT,5,Individual,860c2775-6c80-4043-99f2-11c0f116f3b3,4540822884284831,982,2029-06-18,Welford Bank,9595.14,3355.43,ACTIVE,2024-01-06,0.6503
0f2a9e81-3ff5-4c5c-9ca4-39283fbaf989,DEBIT,7,Empresa,9ce48a04-a598-47a8-9eaf-87468c7cdc24,4540976188441136,863,2027-02-13,Welford Bank,0.0,0.0,INACTIVE,2025-02-06,
2acaf053-95a8-45b4-b793-95e2676edd05,CREDIT,7,Empresa,9ce48a04-a598-47a8-9eaf-87468c7cdc24,4540458650772578,887,2030-01-23,Welford Bank,5694.83,1749.36,ACTIVE,2024-11-09,0.6928
8284a9cf-bca2-4e3c-8e24-f29588076a11,CREDIT,8,Individual,ef56b770-083d-4d23-8824-23da2216d591,4540338997128026,124,2026-12-19,Welford Bank,7398.82,1691.99,INACTIVE,2021-12-30,0.7713
dfc9358f-bd8c-4e5e-85b6-cd16719b95ca,DEBIT,9,Individual,7149f69f-2c7c-4444-98ce-62596919c158,4540701381960005,753,2029-04-28,Welford Bank,0.0,0.0,INACTIVE,2025-01-10,
7a286878-5dfa-4a1b-a19e-14c090130b27,DEBIT,10,Empresa,8d495b23-bcab-4f63-bd69-9fd279106037,4540497798967966,705,2028-11-04,Welford Bank,0.0,0.0,ACTIVE,2025-04-14,
58bc4426-f10a-4228-a069-bb4d0cc98975,CREDIT,10,Empresa,0082583c-e074-4ab8-960c-ebe94664e88e,4540132026926099,661,2029-11-10,Welford Bank,5998.36,1651.67,ACTIVE,2024-08-24,0.7246
830b5efb-ace9-4304-a5d9-5d0abdb52016,DEBIT,10,Empresa,0082583c-e074-4ab8-960c-ebe94664e88e,4540311196646788,302,2029-04-25,Welford Bank,0.0,0.0,ACTIVE,2024-05-05,
29e69da5-56d6-4fe8-b769-ca1699d8b579,CREDIT,11,Individual,ec6dc28a-9b3c-4324-9d1f-d52c3650f811,4540000203692344,327,2029-12-11,Welford Bank,5737.89,1409.14,ACTIVE,2025-04-22,0.7544
8a2d9cbf-c1e3-4524-b281-1a9b2e7be129,DEBIT,12,Individual,9feeb5fd-ede5-43ae-b58a-237d8a88ff2b,4540283187376215,082,2027-09-26,Welford Bank,0.0,0.0,ACTIVE,2025-05-12,
26d7b8bb-11b6-4340-b23c-5e6b300ea53c,DEBIT,13,Individual,5da675da-6530-440b-b6fd-737678467800,4540249529956291,932,2028-12-16,Welford Bank,0.0,0.0,ACTIVE,2024-07-06,
f0c5ed09-eaea-45ba-af92-db785b31baca,DEBIT,14,Individual,51d82ac1-57bf-454e-80ac-3f945e9bffbc,4540832363044327,806,2026-11-18,Welford Bank,0.0,0.0,INACTIVE,2025-04-05,
2438cdd3-42d9-496e-8abc-793da11f00ac,DEBIT,14,Individual,0a707763-4917-4d26-a910-0ba4d34e290c,4540775294002840,478,2028-08-22,Welford Bank,0.0,0.0,INACTIVE,2024-08-24,
9b9c8c8d-74bd-41e2-a6ae-f64dc2d6b103,DEBIT,15,Individual,06f871fc-8696-4a01-b588-14f6cf2be405,4540368500376271,991,2029-09-08,Welford Bank,0.0,0.0,INACTIVE,2025-05-05,
94ae6aa0-6c1f-4b72-bfea-9c1935382d37,CREDIT,15,Individual,06f871fc-8696-4a01-b588-14f6cf2be405,4540832456048085,446,2028-01-11,Welford Bank,8172.11,1835.63,ACTIVE,2024-12-13,0.7754
5cf20c93-0c26-4e56-a5e6-36fab64ac7cc,DEBIT,16,Individual,f8ca604d-3e4a-4022-ad36-ffb9dd06b907,4540142954605301,708,2028-02-23,Welford Bank,0.0,0.0,ACTIVE,2025-01-25,
0fdb4a60-86f5-439c-b7a0-1d2893de3b8d,DEBIT,17,Individual,7277f762-57e5-4519-ba97-b720f68935b6,4540551442800028,988,2028-04-06,Welford Bank,0.0,0.0,ACTIVE,2025-04-15,
2f862f55-59f3-4399-9e01-ba2b85cbd78a,DEBIT,17,Individual,7277f762-57e5-4519-ba97-b720f68935b6,4540723329167303,373,2029-12-26,Welford Bank,0.0,0.0,ACTIVE,2025-04-09,
7add33fd-f552-4794-b65d-dbe7c544c04a,DEBIT,18,Empresa,c8051c89-1312-4350-8f1e-f88e7abcd4e1,4540888843368793,660,2029-08-31,Welford Bank,0.0,0.0,INACTIVE,2025-05-10,
f635233c-7842-4c6f-b55f-cd78078a7380,DEBIT,20,Individual,b26a3706-f52a-4455-a6ae-0c951c822d02,4540837445828347,879,2027-10-04,Welford Bank,0.0,0.0,INACTIVE,2024-03-29,
c8e6968b-e01a-47f4-ba55-306c57b52d0f,DEBIT,21,Individual,2528732c-ac01-40a0-80bc-fec5972fc70c,4540228623827212,935,2027-05-21,Welford Bank,0.0,0.0,ACTIVE,2023-11-10,
6a8b5336-0d28-412f-a6d7-4a40323a8414,DEBIT,22,Individual,d6304187-5cf2-4550-af36-98355c587f11,4540927421849102,047,2026-11-22,Welford Bank,0.0,0.0,ACTIVE,2025-05-01,
6be4dba1-b87d-4256-8729-452a313f15b3,DEBIT,24,Individual,27b2f339-c5ba-49fc-95d8-30177feef8d7,4540936389971173,197,2029-05-17,Welford Bank,0.0,0.0,INACTIVE,2025-01-23,
672c712d-621f-4536-ab7e-40cf1cf80177,DEBIT,24,Individual,80e5230e-378d-410e-b89b-b37f63ded7ef,4540943754939401,947,2029-09-07,Welford Bank,0.0,0.0,INACTIVE,2024-08-15,
11d44cb0-20bf-4bba-bd8c-e3fb24c01d90,CREDIT,24,Individual,7e0612fa-79e8-4ac6-a87e-dc54f46a4304,4540841661365869,810,2028-11-28,Welford Bank,8722.89,309.76,ACTIVE,2023-11-08,0.9645
6bffa659-3de5-47e8-85e5-51fde0607fad,CREDIT,24,Individual,7e0612fa-79e8-4ac6-a87e-dc54f46a4304,4540041917529456,841,2028-02-06,Welford Bank,3319.6,1968.96,ACTIVE,2023-09-01,0.4069
a2281b05-eed2-4d0a-b6c3-3b28c32c2abb,DEBIT,25,Individual,0969786d-bcd0-4a12-aee3-ba01c89a654b,4540300284608870,161,2027-03-28,Welford Bank,0.0,0.0,INACTIVE,2025-04-02,
724f8100-c721-4c90-ab17-8c0f51e38648,DEBIT,26,Empresa,61244e00-d874-4478-9c0c-c9cafe6eac42,4540055034359369,481,2029-03-14,Welford Bank,0.0,0.0,ACTIVE,2025-05-13,
eceecb18-ed2c-4b19-ba3e-af65d93aa88b,DEBIT,26,Empresa,8b74e3b9-c11d-43e6-a6a1-0c5105e7c835,4540650463984807,741,2028-04-29,Welford Bank,0.0,0.0,ACTIVE,2024-11-15,
601de38e-6561-4017-a999-e639f4bdc7d0,DEBIT,26,Empresa,8b74e3b9-c11d-43e6-a6a1-0c5105e7c835,4540683243488510,052,2030-01-18,Welford Bank,0.0,0.0,INACTIVE,2024-12-03,
25600559-3a54-4510-a68f-bace7e810829,DEBIT,28,Individual,283c9796-078a-47ea-80d3-3efc16774285,4540108302925807,764,2029-04-11,Welford Bank,0.0,0.0,INACTIVE,2023-11-07,
bf37077e-75b9-4658-bcfe-375b84d83427,DEBIT,28,Individual,283c9796-078a-47ea-80d3-3efc16774285,4540865764386803,635,2028-06-04,Welford Bank,0.0,0.0,INACTIVE,2024-03-29,
440931cb-3cb9-4b8e-a85b-347a7fcdde0d,DEBIT,29,Individual,2fe53dd2-b693-41ba-a119-99f2c171768b,4540798107470029,083,2028-01-31,Welford Bank,0.0,0.0,INACTIVE,2025-04-11,
ed83d17b-3f38-4c76-9ef9-e34c9b44120d,CREDIT,30,Individual,be539c77-af3c-470c-8b3b-e9533fc2a6f1,4540686753554186,684,2026-11-01,Welford Bank,1197.14,250.42,INACTIVE,2023-03-07,0.7908
f2130d55-b007-4845-b956-3a5477968386,DEBIT,31,Individual,4d984a2e-4a3e-4a09-990c-875c4aab1c1b,4540441833668265,041,2028-02-02,Welford Bank,0.0,0.0,INACTIVE,2025-04-17,
3eb31f46-0322-4b29-aac4-c8a7a474fa6c,DEBIT,32,Individual,1697ea73-6dab-4470-9914-5f34185a6862,4540716647124103,972,2029-06-05,Welford Bank,0.0,0.0,INACTIVE,2023-10-02,
4aa33622-ccfb-40c9-ac99-37aad6756618,CREDIT,33,Individual,6bf3bb7d-bfbb-4d5f-af58-6210926308fb,4540280775708683,467,2026-06-20,Welford Bank,3837.22,261.75,INACTIVE,2024-08-21,0.9318
900daabf-767e-4352-bc56-24b78de1e583,CREDIT,35,Individual,cbdae229-eb0e-4b72-94ee-226dd840d801,4540344515641712,779,2028-11-28,Welford Bank,4526.42,1653.43,INACTIVE,2024-10-18,0.6347
8b159f83-b43f-4451-aecc-b134162e8b08,DEBIT,35,Individual,0c7b3414-eb44-458e-993b-07d28ef0ba16,4540470594245312,893,2027-12-22,Welford Bank,0.0,0.0,INACTIVE,2024-11-07,
3041912f-f276-400f-b77a-3b707e4059ae,DEBIT,35,Individual,0c7b3414-eb44-458e-993b-07d28ef0ba16,4540611083356348,376,2030-03-19,Welford Bank,0.0,0.0,ACTIVE,2024-12-29,
c103634e-c753-4589-92f1-73bb69d5eb4a,DEBIT,36,Individual,4cbb1477-cfec-45b7-8e9f-0028015a8e3f,4540399817032367,780,2029-08-27,Welford Bank,0.0,0.0,INACTIVE,2023-11-01,
8af6a211-2b97-4107-8c4c-5b84bfba0c3c,DEBIT,37,Individual,315ebe5d-af69-4d49-9609-2144d18e6556,4540756188648099,672,2027-03-05,Welford Bank,0.0,0.0,INACTIVE,2025-05-07,
219407e7-63f0-45ba-a721-51184393df34,DEBIT,38,Individual,50be1f8d-04e5-4fe8-9f21-d1227826b7ac,4540058067305995,243,2029-06-14,Welford Bank,0.0,0.0,INACTIVE,2025-03-10,
d2da7268-eaac-4bee-8d03-7f17aef3266b,CREDIT,39,Individual,11a4e6cd-0907-4a91-bcb4-a65bb8cd3293,4540153452614472,183,2030-04-02,Welford Bank,9775.93,1175.66,ACTIVE,2025-04-30,0.8797
40e453d1-7a9e-439a-92ce-4843653ec89e,DEBIT,40,Individual,872de0bb-ccdd-4f6e-b80b-c945b81cf041,4540269319732113,399,2027-07-27,Welford Bank,0.0,0.0,INACTIVE,2024-01-11,
336cc22f-5dde-4080-8550-303adc59e1ff,DEBIT,41,Individual,c4c5a8aa-56b9-4763-9685-5a82b555faf0,4540250433849266,383,2027-06-06,Welford Bank,0.0,0.0,ACTIVE,2025-01-18,
7407574f-36f8-46f8-92b5-59a2af1fa062,CREDIT,42,Individual,a98b90d8-259b-4a21-846a-0924f794f6e9,4540311044151135,610,2030-03-14,Welford Bank,2878.99,2655.91,ACTIVE,2024-10-25,0.0775
0be18c5c-bdad-44d9-9243-4094b1873590,DEBIT,42,Individual,e26932a7-b152-43fd-a50f-7bbae87ea979,4540301398732144,695,2029-02-22,Welford Bank,0.0,0.0,ACTIVE,2025-02-21,
d1c6d96b-fa4a-4b31-a27c-166a6dfdb40a,CREDIT,43,Individual,964c166b-155f-4a38-b866-a29e35230cd8,4540478839123659,271,2028-04-26,Welford Bank,1840.66,121.0,ACTIVE,2025-01-10,0.9343
