Client_ID,Type_Client,Name,Surname,Date_Birth,Gender,Address,City,Province,Country,Phone,Email,Registration_Date,Customer_Segment,Customer_Lifetime_Value,Status
1,Individual,Fausto,Haro Alegria,1938-05-19,Hombre,"Plaza Azahar Arce 6, Pamplona",Pamplona,Navarra,España,+34 845 531 575,fausto.haro@hotmail.com,2021-07-04,Platino,28793.37,Inactivo
2,Individual,Sandra,Padilla Millán,1950-09-04,Mujer,"Acceso de Jenaro Fábregas 123, Terrassa",Terrassa,Barcelona,España,+34 983639767,sandra.padilla@outlook.com,2020-06-03,Plata,11689.42,Activo
3,Individual,Joaquina,Sanjuan Quirós,1991-01-30,Hombre,"Pasaje de Clotilde Miró 106, Manacor",Manacor,Illes Balears,España,+34 820703282,joaquina.sanjuan@outlook.com,2023-04-19,Bronce,14210.9,Activo
4,Individual,Evaristo,Cabo Carnero,1963-03-25,Mujer,"Cañada Benita Uría 41, Vilalba",Vilalba,Lugo,España,+34821 784 683,evaristo.cabo@welfordbank.es,2020-12-17,Plata,19585.72,Inactivo
5,Individual,María,Córdoba Monreal,1962-08-11,Mujer,"Avenida de Joel Menéndez 208, Ceuta",Ceuta,Ceuta,España,+34 977571472,maria.cordoba@gmail.com,2020-08-14,Oro,9210.93,Activo
6,Individual,Priscila,Juan Bru,1955-05-02,Hombre,"C. de Renato Alcántara 9, Azuqueca de Henares",Azuqueca de Henares,Guadalajara,España,+34 803 704 279,priscila.juan@gmail.com,2022-08-01,Bronce,17663.87,Activo
7,Empresa,Pía Bilbao Sevilla S.A.T.,,2005-11-16,,"Calle de Angelita Barrio 285, Azuqueca de Henares",Azuqueca de Henares,Guadalajara,España,+34972 419 005,piabilbaos.empresa@hotmail.com,2024-01-18,Oro,27082.54,Activo
8,Individual,Esperanza,Mate Salinas,1957-02-14,Mujer,"Ronda de Ovidio Barba 163, Santiago de Compostela",Santiago de Compostela,La Coruña,España,+34 746605968,esperanza.mate@welfordbank.es,2020-01-06,Bronce,17606.53,Activo
9,Individual,Natalio,Morcillo Hervás,1984-04-30,Hombre,"Urbanización de Andrea Vila 140, Alcalá de Henares",Alcalá de Henares,Madrid,España,+34917509535,natalio.morcillo@welfordbank.es,2024-12-20,Plata,26179.5,Inactivo
10,Empresa,Nadal y Castells S.Com.,,1973-04-27,,"Pasadizo Luisina Campoy 33, Elche",Elche,Alicante,España,+34 974989791,nadalycast.empresa@gmail.com,2022-02-11,Bronce,20599.76,Activo
11,Individual,Leandra,Sevilla Cuesta,1982-03-28,Hombre,"Via Micaela Cortés 247, Málaga",Málaga,Málaga,España,+34988 89 55 63,leandra.sevilla@welfordbank.es,2025-04-06,Bronce,11926.64,Activo
12,Individual,Diana,Crespi Nevado,1967-11-30,Hombre,"Pasadizo Loreto Solera 131, Teruel",Teruel,Teruel,España,+34946 045 245,diana.crespi@gmail.com,2025-05-12,Plata,16226.9,Activo
13,Individual,Conrado,Bautista Infante,1949-05-06,Mujer,"Pasaje Yésica Garcia 178, Roquetas de Mar",Roquetas de Mar,Almería,España,+34 821 782 352,conrado.bautista@outlook.com,2023-04-18,Plata,28336.18,Inactivo
14,Individual,Simón,Domínguez Perales,1989-02-15,Hombre,"Acceso Silvio Gonzalez 179, Cuéllar",Cuéllar,Segovia,España,+34 845 827 777,simon.dominguez@hotmail.com,2023-03-15,Plata,21638.6,Activo
15,Individual,Ángela,Sala Huertas,1982-12-02,Mujer,"Avenida de Teo Lledó 167, Tarancón",Tarancón,Cuenca,España,+34 737 562 090,angela.sala@outlook.com,2023-04-15,Platino,16487.86,Inactivo
16,Individual,Virgilio,Simó Juárez,1962-11-12,Mujer,"Pasaje de Américo Navarrete 259, Valladolid",Valladolid,Valladolid,España,+34 971 68 12 57,virgilio.simo@outlook.com,2024-11-22,Bronce,24506.49,Inactivo
17,Individual,Cesar,García Gimeno,1946-10-09,Mujer,"Camino de Adelina Vizcaíno 162, Barbastro",Barbastro,Huesca,España,+34 982 61 65 57,cesar.garcia@gmail.com,2021-05-13,Plata,20181.92,Activo
18,Empresa,Inmobiliaria Iberia S.Coop.,,2018-03-24,,"Ronda de Dionisio Mateu 237, Algeciras",Algeciras,Cádiz,España,+34845 78 32 78,inmobiliar.empresa@hotmail.com,2025-05-05,Plata,19255.34,Activo
19,Individual,Ismael,Madrid Ramón,1985-07-12,Hombre,"Glorieta Ruperto Romero 189, Logroño",Logroño,La Rioja,España,+34 976673565,ismael.madrid@welfordbank.es,2025-04-05,Plata,25896.22,Inactivo
20,Individual,Clemente,Catalá Valderrama,1950-11-02,Hombre,"Alameda de Graciana Múñiz 291, Reus",Reus,Tarragona,España,+34877 91 28 44,clemente.catala@outlook.com,2021-02-26,Plata,9354.99,Activo
21,Individual,Pili,Guitart Torralba,2002-09-22,Hombre,"Callejón de Ana Esteban 96, Roquetas de Mar",Roquetas de Mar,Almería,España,+34 847 83 88 95,pili.guitart@gmail.com,2023-05-05,Oro,19841.17,Activo
22,Individual,Iván,Arias Osuna,1996-03-25,Hombre,"Callejón María Fernanda Barrena 228, Ourense",Ourense,Ourense,España,+34 922849955,ivan.arias@outlook.com,2021-12-08,Oro,33224.02,Inactivo
23,Empresa,Soluciones Española S.L.,,1962-05-30,,"Plaza de Zoraida Talavera 215, Lucena",Lucena,Córdoba,España,+34 843 10 91 06,soluciones.empresa@hotmail.com,2024-01-02,Plata,11444.82,Activo
24,Individual,Blanca,Núñez Bou,2003-01-14,Hombre,"Acceso de Fabio Ferrández 240, Vilalba",Vilalba,Lugo,España,+34 807584880,blanca.nunez@welfordbank.es,2022-05-12,Oro,16017.44,Activo
25,Individual,Nadia,Toledo Giralt,1984-09-29,Mujer,"Vial Adrián Saez 127, Tarragona",Tarragona,Tarragona,España,+34848 89 63 36,nadia.toledo@outlook.com,2024-07-20,Plata,18782.68,Activo
26,Empresa,Luque y Moles S.L.,,2010-01-28,,"Calle de Dionisio Español 236, Lleida",Lleida,Lleida,España,+34827 428 034,luqueymole.empresa@outlook.com,2022-05-20,Plata,18280.48,Activo
27,Individual,Etelvina,Zamorano Pino,2006-03-25,Mujer,"Cañada de Evelia Belmonte 200, Monforte de Lemos",Monforte de Lemos,Lugo,España,+34876 07 95 22,etelvina.zamorano@gmail.com,2024-11-28,Oro,28378.65,Activo
