Office_Code,Office_Name,Location,Manager,Total_Revenue
0000,Sucursal 0000,Málaga,Jerónimo Vallés,13231.09
0001,Sucursal 0001,Santa Cruz de Tenerife,Alba Tudela,9082.35
0002,Sucursal 0002,Toledo,Julio Molins,17043.440000000002
0003,Sucursal 0003,Girona,Luis Miguel Vergara,7420.49
0004,Sucursal 0004,Barcelona,Reyna Ferrández,12918.24
0005,Sucursal 0005,La Coruña,Maura Morell,1079.44
0006,Sucursal 0006,Almería,Virginia Lladó,25144.15
0007,Sucursal 0007,Madrid,Toribio Requena,19460.14
0008,Sucursal 0008,Tarragona,Venceslás Salgado,7627.73
0009,Sucursal 0009,Albacete,Alberto Escalona,8220.68
0010,Sucursal 0010,Guadalajara,Jesusa Bueno,10257.46
0011,Sucursal 0011,Madrid,Encarnita Acuña,22619.6
0012,Sucursal 0012,Castellón,Maite Ramis,13891.669999999998
0013,Sucursal 0013,Asturias,María Gisbert,39495.25
0014,Sucursal 0014,Zamora,Jessica Niño,16493.72
0015,Sucursal 0015,Cuenca,Fausto Ramos,9881.650000000001
0016,Sucursal 0016,Albacete,Leopoldo Redondo,15476.72
0017,Sucursal 0017,Lleida,Graciano Salvà,30813.28
0018,Sucursal 0018,Málaga,Vera Catalán,17562.26
0019,Sucursal 0019,Almería,Julián Olivera,10382.02
0020,Sucursal 0020,Salamanca,Federico Montaña,19686.92
0021,Sucursal 0021,Baleares,Angelina Montserrat,8628.74
0022,Sucursal 0022,Huelva,Bernarda Noguera,21384.04
0023,Sucursal 0023,Zamora,Sarita Peñas,11874.52
0026,Sucursal 0026,Badajoz,Ibán Ochoa,27760.66
0027,Sucursal 0027,Murcia,Agustín Carballo,31346.23
0028,Sucursal 0028,Almería,Jessica Rovira,17573.27
0029,Sucursal 0029,Granada,Lázaro Sáenz,16546.12
0030,Sucursal 0030,Lleida,Antonia Alcaraz,12833.720000000001
0031,Sucursal 0031,Sevilla,Andrés Felipe Sanchez,12156.57
0032,Sucursal 0032,La Coruña,Rodolfo Sureda,8282.36
0033,Sucursal 0033,Vizcaya,Danilo Llopis,34800.41
0034,Sucursal 0034,La Coruña,Che Ureña,34564.35
0035,Sucursal 0035,Toledo,Sandalio Posada,11022.67
